"ano","cve_mun","delitos"
2011,"01001",144.431833891153
2012,"01001",108.566210710128
2013,"01001",81.424658032596
2014,"01001",134.738422220605
2015,"01001",114
2016,"01001",132
2017,"01001",157
2018,"01001",190
2019,"01001",160
2020,"01001",123
2021,"01001",117
2022,"01001",103
2023,"01001",112
2024,"01001",114
2025,"01001",104
2011,"01002",9.69341167054715
2012,"01002",10.6627528376019
2013,"01002",16.4787998399302
2014,"01002",9.69341167054715
2015,"01002",10
2016,"01002",12
2017,"01002",15
2018,"01002",16
2019,"01002",15
2020,"01002",6
2021,"01002",12
2022,"01002",12
2023,"01002",15
2024,"01002",20
2025,"01002",11
2011,"01003",9.69341167054715
2012,"01003",4.84670583527357
2013,"01003",6.785388169383
2014,"01003",11.6320940046566
2015,"01003",11
2016,"01003",14
2017,"01003",12
2018,"01003",11
2019,"01003",12
2020,"01003",11
2021,"01003",13
2022,"01003",19
2023,"01003",12
2024,"01003",9
2025,"01003",7
2011,"01004",3.87736466821886
2012,"01004",3.87736466821886
2013,"01004",2.90802350116414
2014,"01004",4.84670583527357
2015,"01004",4
2016,"01004",2
2017,"01004",5
2018,"01004",4
2019,"01004",1
2020,"01004",6
2021,"01004",4
2022,"01004",7
2023,"01004",6
2024,"01004",5
2025,"01004",5
2011,"01005",16.4787998399302
2012,"01005",18.4174821740396
2013,"01005",19.3868233410943
2014,"01005",20.356164508149
2015,"01005",23
2016,"01005",20
2017,"01005",26
2018,"01005",24
2019,"01005",23
2020,"01005",28
2021,"01005",22
2022,"01005",19
2023,"01005",32
2024,"01005",35
2025,"01005",25
2011,"01006",10.6627528376019
2012,"01006",11.6320940046566
2013,"01006",10.6627528376019
2014,"01006",8.72407050349243
2015,"01006",8
2016,"01006",11
2017,"01006",12
2018,"01006",8
2019,"01006",9
2020,"01006",12
2021,"01006",9
2022,"01006",11
2023,"01006",21
2024,"01006",19
2025,"01006",19
2011,"01007",10.6627528376019
2012,"01007",8.72407050349243
2013,"01007",7.75472933643772
2014,"01007",11.6320940046566
2015,"01007",14
2016,"01007",22
2017,"01007",9
2018,"01007",10
2019,"01007",14
2020,"01007",12
2021,"01007",9
2022,"01007",20
2023,"01007",18
2024,"01007",13
2025,"01007",17
2011,"01008",0
2012,"01008",0.969341167054715
2013,"01008",0.969341167054715
2014,"01008",3.87736466821886
2015,"01008",1
2016,"01008",3
2017,"01008",1
2018,"01008",1
2019,"01008",0
2020,"01008",1
2021,"01008",1
2022,"01008",5
2023,"01008",1
2024,"01008",1
2025,"01008",2
2011,"01009",6.785388169383
2012,"01009",4.84670583527357
2013,"01009",1.93868233410943
2014,"01009",8.72407050349243
2015,"01009",4
2016,"01009",1
2017,"01009",5
2018,"01009",5
2019,"01009",4
2020,"01009",3
2021,"01009",8
2022,"01009",8
2023,"01009",2
2024,"01009",4
2025,"01009",6
2011,"01010",3.87736466821886
2012,"01010",5.81604700232829
2013,"01010",4.84670583527357
2014,"01010",8.72407050349243
2015,"01010",12
2016,"01010",6
2017,"01010",7
2018,"01010",7
2019,"01010",9
2020,"01010",7
2021,"01010",8
2022,"01010",12
2023,"01010",8
2024,"01010",5
2025,"01010",11
2011,"01011",5.81604700232829
2012,"01011",5.81604700232829
2013,"01011",11.6320940046566
2014,"01011",15.5094586728754
2015,"01011",10
2016,"01011",10
2017,"01011",9
2018,"01011",7
2019,"01011",22
2020,"01011",12
2021,"01011",17
2022,"01011",10
2023,"01011",22
2024,"01011",21
2025,"01011",13
2011,"02001",45.5590348515716
2012,"02001",133.769081053551
2013,"02001",98.8727990395809
2014,"02001",147.339857392317
2015,"02001",136
2016,"02001",150
2017,"02001",253
2018,"02001",328
2019,"02001",370
2020,"02001",446
2021,"02001",375
2022,"02001",213
2023,"02001",175
2024,"02001",167
2025,"02001",164
2011,"02002",134.738422220605
2012,"02002",188.052186408615
2013,"02002",179.328115905122
2014,"02002",180.297457072177
2015,"02002",157
2016,"02002",146
2017,"02002",194
2018,"02002",206
2019,"02002",231
2020,"02002",287
2021,"02002",415
2022,"02002",426
2023,"02002",311
2024,"02002",326
2025,"02002",304
2011,"02003",28.1108938445867
2012,"02003",45.5590348515716
2013,"02003",56.2217876891735
2014,"02003",46.5283760186263
2015,"02003",46
2016,"02003",79
2017,"02003",72
2018,"02003",112
2019,"02003",101
2020,"02003",157
2021,"02003",233
2022,"02003",97
2023,"02003",137
2024,"02003",135
2025,"02003",88
2011,"02004",405.184607828871
2012,"02004",350.901502473807
2013,"02004",492.425312863795
2014,"02004",682.416181606519
2015,"02004",813
2016,"02004",1024
2017,"02004",1765
2018,"02004",2392
2019,"02004",2188
2020,"02004",2030
2021,"02004",1969
2022,"02004",2052
2023,"02004",1844
2024,"02004",1754
2025,"02004",1241
2011,"02005",38.7736466821886
2012,"02005",46.5283760186263
2013,"02005",66.8845405267753
2014,"02005",61.068493524447
2015,"02005",67
2016,"02005",104
2017,"02005",146
2018,"02005",131
2019,"02005",175
2020,"02005",147
2021,"02005",156
2022,"02005",139
2023,"02005",89
2024,"02005",76
2025,"02005",68
2021,"02006",77
2022,"02006",48
2023,"02006",52
2024,"02006",58
2025,"02006",74
2022,"02007",18
2023,"02007",11
2024,"02007",26
2025,"02007",33
2011,"03001",2.90802350116414
2012,"03001",8.72407050349243
2013,"03001",3.87736466821886
